LATNUM,LONGNUM
34.382727,73.848621
34.40418,74.29431
34.45516,74.364586
34.559398,74.068008
34.457346,74.094578
34.526174,74.432402
34.63738,74.280524
34.551199,74.161105
34.379724,74.332108
34.268889,74.104868
34.384429,74.170509
34.384492,74.253866
34.662696,74.443337
34.411248,74.308743
34.536912,74.290508
34.476801,74.385393
34.559614,74.260362
34.465255,74.426137
34.535644,74.437959
34.395586,73.854269
34.354839,74.296921
34.466532,74.416351
34.462301,74.227372
34.453795,74.341888
34.556738,74.490097
34.49073,74.254084
34.383044,74.177576
34.638743,74.239565
34.425118,74.244076
34.415573,74.167917
34.47955,74.126952
34.563227,74.194175
34.485444,74.403103
34.614437,74.264478
34.620244,74.261003
34.529581,74.164108
34.427084,74.219139
34.510899,74.459904
34.557952,74.307426
34.487602,74.131419
34.567394,74.405493
34.371148,73.873529
34.029036,74.722103
34.046102,74.738967
33.874852,74.586469
34.026674,74.588148
33.951855,74.608434
33.949755,74.695534
33.97665,74.84213
33.892662,74.69609
33.867605,74.590572
34.128661,74.675951
33.944546,74.721418
34.029097,74.622351
34.030234,74.609517
33.993829,74.806127
33.961654,74.799969
33.995184,74.690947
33.959028,74.802195
34.057789,74.727409
33.926226,74.804979
34.084774,74.648469
33.87514,74.626526
34.014139,74.707802
34.039427,74.858789
34.038866,74.782902
33.9883,74.799544
33.811074,74.662584
33.893826,74.732894
33.807839,74.663238
33.97836,74.793449
33.963409,74.792921
33.874697,74.589814
33.873607,74.554118
33.984064,74.764826
33.874437,74.706102
33.833827,74.751172
34.024995,74.721312
33.946604,74.629483
33.996478,74.538374
33.971483,74.805474
33.971573,74.824675
34.076137,74.596685
33.998086,74.639725
34.168865,77.579323
34.780916,77.721765
34.662733,77.472366
34.556645,77.567294
34.253562,77.165816
34.255779,76.835014
34.57225,77.778287
33.457131,78.683377
33.371058,78.174654
34.31317,77.829233
34.549796,77.481035
34.293456,76.847313
33.359532,78.162565
34.013103,77.839358
34.092189,77.58278
34.388904,77.757032
33.353087,78.156389
34.102889,77.622228
33.35394,78.158853
34.175097,77.581611
34.591978,77.436619
34.0877,77.620739
33.922395,77.801511
34.43454,76.702897
33.362082,78.159954
33.359007,78.157178
34.176325,77.37144
34.104596,77.521011
34.010333,77.689414
34.751142,77.711685
34.204951,77.452286
34.67422,77.601332
33.943143,77.767091
34.103972,77.568343
34.186008,77.584394
34.259468,77.97665
34.749135,77.72239
34.160803,77.591265
34.09508,77.592639
33.380391,78.139643
34.157305,77.578367
34.041349,77.602887
34.584581,76.130402
34.424049,75.723476
34.620635,76.318042
34.471452,76.337999
34.065596,75.974775
34.610792,76.023196
34.139608,76.142381
34.201387,75.94232
34.11578,75.981017
34.147455,76.15785
34.424601,76.010146
34.373687,76.35907
34.134668,75.960405
34.403469,75.743602
34.554722,76.157658
34.557151,76.208848
33.527368,76.98362
34.493526,76.372617
34.507932,76.337092
34.575026,76.104205
34.507395,76.343005
34.644264,76.333435
34.484673,76.112521
34.289646,75.956127
34.389795,76.42223
34.557273,76.125977
33.449652,76.983457
34.314742,75.939584
34.483777,76.345312
34.548856,76.271757
34.46898,76.256382
34.380128,76.424543
34.561231,76.199547
34.413029,76.027219
34.423807,76.076033
34.558446,76.122547
33.50321,76.796439
34.473094,76.093566
34.621278,76.140971
34.426183,75.943487
34.141471,76.163361
33.660879,76.992854
33.776279,74.093092
33.765403,74.041536
33.673301,74.275094
33.799542,74.046054
33.65887,74.327403
33.791443,74.159745
33.619562,74.084944
33.805802,74.17895
33.610018,74.187694
33.618021,74.388275
33.673533,74.086847
33.777768,74.095827
33.774048,74.101223
33.817688,74.253491
33.76858,74.11138
33.822894,74.280037
33.707734,74.141126
33.618946,74.366104
33.60241,74.168152
33.7691,74.103083
33.604971,74.136185
33.755551,74.274118
33.803052,74.296366
33.833644,74.293695
33.745682,74.059324
33.708504,74.361948
33.627528,74.265609
33.686187,74.254694
33.76221,74.245085
33.83026,74.348006
33.585202,74.394372
33.797282,74.223866
33.620245,74.119337
33.6529,74.181451
33.662289,74.301432
33.630763,74.380824
33.650525,74.382117
33.602893,74.101169
33.689145,74.320213
33.793798,74.101582
33.640814,74.197555
33.623394,74.105411
33.37013,74.328617
33.251212,74.302384
33.224372,74.359867
33.362583,74.294011
33.285657,74.470737
33.315495,74.287219
33.448362,74.243739
33.134781,74.234006
33.061446,74.48317
33.339575,74.601525
33.51003,74.358923
33.355357,74.36105
33.561652,74.379558
33.162281,74.304147
33.151338,74.256355
33.490613,74.247653
33.328339,74.221363
33.442505,74.307702
33.325035,74.317048
33.252358,74.24146
33.38807,74.232934
33.145497,74.445184
33.414489,74.246295
33.462063,74.423141
33.405301,74.344994
33.387768,74.435821
33.205129,74.479819
33.331703,74.179138
33.446433,74.287088
33.454891,74.246598
33.126046,74.414418
33.063877,74.492946
33.50553,74.420608
33.232728,74.131765
33.3782,74.438256
33.297877,74.522076
33.36638,74.306443
33.191166,74.237954
33.153658,74.423888
33.444701,74.353019
33.369715,74.341839
33.354571,74.435789
32.375349,75.527674
32.450432,75.401577
32.585246,75.441495
32.387424,75.431153
32.643558,75.707305
32.416014,75.678782
32.332553,75.509743
32.696827,75.824456
32.465803,75.283889
32.645646,75.530159
32.622378,75.530648
32.454564,75.297698
32.738651,75.889095
32.4384,75.480749
32.352217,75.431428
32.528049,75.67794
32.644402,75.370787
32.440235,75.382691
32.482453,75.44181
32.374882,75.529745
32.399125,75.373685
32.574277,75.431752
32.541731,75.714407
32.567588,75.841775
32.664248,75.508335
32.393158,75.52728
32.672842,75.818613
32.672104,75.677465
32.471606,75.378473
32.570445,75.682555
32.444465,75.326001
32.492205,75.459112
32.608876,75.590967
32.663821,75.63601
32.373677,75.54001
32.403682,75.499979
32.389993,75.3181
32.524343,75.365982
32.537081,75.640686
32.423363,75.331276
32.51435,75.354886
32.764606,75.823908
34.295447,74.472256
34.064065,74.457433
34.098641,74.511829
34.192899,74.450377
34.149344,74.611167
34.164404,74.61002
34.147982,74.446427
34.33794,74.492064
34.033505,74.47922
34.069578,74.534974
34.354742,74.470347
34.33604,74.401444
34.1605,74.471432
34.191264,74.550194
34.223487,74.404653
34.106423,74.585582
34.169127,74.5304
34.394165,74.398932
34.23364,74.383975
34.221714,74.351315
34.077067,74.493097
34.394595,74.430017
34.228303,74.532172
34.166439,74.470939
34.230848,74.398223
34.20747,74.344568
34.409032,74.417768
34.106897,74.549883
34.158696,74.445541
34.119768,74.506601
34.217823,74.472163
34.287805,74.345624
34.338991,74.518575
34.323851,74.422605
34.086761,74.506464
34.213685,74.347339
34.148793,74.081566
34.161871,74.563708
34.262379,74.446926
34.171417,74.590164
34.140716,74.672723
34.120923,74.623375
34.360233,74.684182
34.644178,74.868004
34.48525,74.692499
34.494639,74.694363
34.222243,74.5961
34.319794,74.610891
34.666244,74.699842
34.54909,74.88697
34.278669,74.6548
34.308685,74.614115
34.266659,74.580118
34.312761,74.601105
34.276256,74.544361
34.384763,74.724418
34.430437,74.653383
34.341267,74.589418
34.41815,74.685566
34.498439,74.654146
34.453762,74.612704
34.404901,74.634718
34.427074,74.619677
34.313153,74.603972
34.411449,74.607137
34.347857,74.608152
34.455365,74.56151
34.418848,74.65444
34.540677,75.04935
34.332832,74.637561
34.247679,74.583175
34.238275,74.581924
34.310206,74.617176
34.26643,74.606519
34.494095,74.691463
34.420572,74.638069
34.505206,74.811639
34.419265,74.664983
34.188592,74.663841
34.426233,74.563454
34.439473,74.615367
34.441458,74.649265
34.477721,74.667763
34.441751,74.78108
34.08504,74.812793
34.085496,74.811947
34.089095,74.790668
34.094062,74.834959
34.133777,74.792831
34.088474,74.795883
34.102234,74.79445
34.08499,74.804795
34.076048,74.829888
34.100654,74.800586
34.096671,74.78359
34.083667,74.810554
34.150105,74.931994
34.085729,74.810513
34.10945,74.789673
34.088003,74.798763
34.080557,74.815498
34.101496,74.772051
34.080851,74.812069
34.083969,74.799359
34.10338,74.81061
34.083228,74.802272
34.081448,74.795752
34.09222,74.782425
34.101593,74.80151
34.082994,74.814224
34.096732,74.809206
34.121794,74.738509
34.095233,74.786848
34.088587,74.80455
34.085707,74.804295
34.092525,74.801763
34.097619,74.802238
34.082053,74.807958
34.104789,74.774556
34.129451,74.752556
34.131989,74.824046
34.085448,74.804756
34.135113,74.817951
34.085695,74.804865
34.093507,74.810897
34.087016,74.806924
34.281799,74.745983
34.315518,74.947878
34.223316,74.950617
34.246939,75.168907
34.200533,74.795664
34.225461,74.79406
34.283691,74.82158
34.283712,75.089007
34.2734,74.777518
34.220083,74.803509
34.239751,74.730926
34.310284,74.878166
34.193565,74.816039
34.29099,75.086485
34.272171,74.663318
34.226922,74.6874
34.239442,74.957428
34.258558,74.901195
34.308674,75.087865
34.199907,74.782378
34.222075,74.939462
34.18275,74.802673
34.262526,74.925756
34.288171,74.810273
34.241322,74.880987
34.25245,74.792819
34.270784,74.849897
34.288168,74.806265
34.238066,74.759109
34.23757,74.753371
34.287616,74.880624
34.228292,74.780833
34.271001,75.155205
34.240081,74.793917
34.272591,74.67449
34.278365,74.67328
34.261992,74.982629
34.271037,74.689721
34.244652,74.668185
34.256887,74.767838
34.208943,75.015725
34.183876,74.771354
34.013951,75.006865
33.904072,75.085071
33.880309,74.895823
33.92499,74.85623
33.957396,74.876342
33.840088,74.994761
33.843863,74.896632
33.960295,74.937463
34.008491,75.075169
33.855734,74.990316
33.891819,74.9293
33.929907,75.049983
33.900952,74.915638
33.896817,75.063548
33.929068,75.106483
33.806467,74.96923
33.873282,74.886995
33.907484,74.926134
33.895336,75.041526
34.00923,75.004602
33.852606,74.866106
33.855093,74.886695
33.838706,74.890826
33.945828,74.947071
34.022216,75.010736
34.016071,75.004176
33.906237,74.925494
33.884257,74.895995
33.846162,74.863803
33.857701,75.04624
33.909893,74.95048
33.947499,75.118216
33.985689,75.140525
33.81403,74.754398
33.873202,75.018718
34.017006,75.012273
33.827353,74.951508
34.005299,75.023945
33.955902,75.145629
33.892325,75.064079
33.802571,74.801966
33.943668,75.143989
33.717509,74.835953
33.705121,74.920102
33.790007,74.773673
33.776193,75.002001
33.771658,74.787946
33.800392,74.844634
33.792933,74.992469
33.70993,74.942479
33.755988,74.909278
33.770842,74.757993
33.720272,74.825037
33.783928,74.976672
33.738856,74.846009
33.657797,74.901643
33.729914,74.827208
33.651433,74.87531
33.739453,74.818506
33.707671,74.92234
33.7959,75.005578
33.719802,74.832889
33.713749,74.876288
33.759049,74.817424
33.809658,74.863465
33.731605,74.808278
33.700421,74.864552
33.742668,74.810606
33.670687,74.871921
33.763476,74.740426
33.725901,74.94503
33.663841,74.830166
33.762777,74.803244
33.791147,75.004425
33.701832,74.841127
33.688153,74.8126
33.677335,74.733532
33.710742,74.80847
33.774194,74.857323
33.732858,74.815896
33.799759,75.008547
33.668462,74.887374
33.771501,74.805752
33.739417,74.972095
33.732801,75.154556
33.934383,75.314503
33.549431,75.308665
33.933494,75.217206
33.792053,75.206133
33.798023,75.281495
33.924921,75.296356
33.806145,75.077189
33.846301,75.124483
33.545905,75.233871
33.536242,75.250795
33.836557,75.25383
33.848454,75.180877
33.69393,75.1491
33.572176,75.301432
34.13312,75.248663
33.716928,75.151836
33.570187,75.416891
33.544518,75.271509
33.731949,75.151083
33.941093,75.238861
33.631753,75.151367
33.759222,75.336091
33.62299,75.289723
33.584474,75.308288
33.567473,75.23808
33.707503,75.182222
33.661941,75.164323
33.741585,75.202605
33.820462,75.225421
33.698504,75.17295
33.72883,75.335317
33.613093,75.322304
33.735223,75.142052
33.72598,75.150812
33.741742,75.173759
33.794328,75.291308
33.587038,75.22999
33.853799,75.241914
33.82225,75.208892
33.763096,75.21533
33.727358,75.155587
33.725109,74.998075
33.691967,75.014342
33.637785,75.056019
33.63659,75.056641
33.584258,74.726866
33.770252,75.055081
33.670984,75.05024
33.664981,75.045992
33.642068,75.089894
33.677321,75.096517
33.719648,75.088868
33.700706,75.127148
33.660326,74.928994
33.719888,74.981767
33.631635,75.095029
33.689494,75.059765
33.566709,74.988184
33.627607,74.749755
33.605134,75.088762
33.666498,75.036935
33.666566,75.057456
33.576901,74.945093
33.67841,75.05167
33.649459,75.033339
33.637037,75.00255
33.654048,75.009935
33.596312,74.936577
33.666302,74.978201
33.712128,74.99628
33.641591,74.909753
33.669842,75.019454
33.669784,74.772096
33.764051,75.071206
33.64909,75.021218
33.67122,75.019854
33.669697,75.044016
33.759156,75.090679
33.613541,74.918149
33.708309,75.045718
33.675257,75.065423
33.555971,74.788369
33.588118,74.751024
33.129687,75.534001
33.051092,75.685727
33.069781,75.580076
32.974666,75.707916
33.102683,75.361839
33.132471,75.741914
33.087424,75.564058
33.176897,75.497935
33.068191,75.645849
33.097479,75.969886
33.081879,75.497336
33.00776,75.976443
33.084511,75.863034
33.172554,75.74529
33.136948,75.540117
33.243956,75.624287
33.15467,75.6098
33.061911,75.506626
33.296261,75.475341
33.151567,75.541593
32.950377,75.723847
32.916488,75.772639
33.217579,75.487047
33.197376,75.528
33.176098,75.507805
33.216747,75.587923
33.083839,75.589048
33.167326,75.763291
33.073926,75.576384
33.136825,75.582789
33.000096,75.904297
33.017385,75.960322
32.9651,75.722292
33.083069,75.483081
33.108017,75.50753
33.193918,75.487131
32.988607,75.687564
33.169855,75.527664
33.176338,75.508001
33.145114,75.724954
33.105367,75.779857
33.018327,75.402614
33.437197,75.182343
33.100356,75.329982
33.096249,75.338766
33.218239,75.22996
33.233554,75.19947
33.149292,75.332755
33.236789,75.220763
33.1454,75.307172
33.107581,75.322168
33.242346,75.220889
33.423226,75.198568
33.410418,75.170859
33.106281,75.324674
33.238711,75.206844
33.114835,75.330336
33.43217,75.204197
33.398553,75.197817
33.342679,75.228461
33.454078,75.191346
33.437042,75.145976
33.11851,75.318579
33.472894,75.082795
33.380026,75.048133
33.363596,75.301625
33.50502,75.191082
33.380955,75.226577
33.093088,75.334567
33.243902,75.169131
33.225281,75.167115
33.285541,75.112429
33.421745,75.191283
33.227364,75.181181
33.433749,75.170565
33.232329,75.202618
33.225757,75.052434
33.424401,75.212818
33.196194,75.200862
33.436485,75.134293
33.382901,75.17019
33.252776,75.226873
33.226186,75.204809
33.41241,75.188074
33.309184,75.778146
33.1689,75.801153
33.328491,75.903965
33.350696,75.784858
33.353768,75.739669
33.102638,75.934344
33.369632,75.812755
33.154625,75.916542
33.191871,75.79308
33.148256,75.919538
33.756663,75.827386
33.905637,75.859171
33.322107,75.944434
33.777574,75.85088
33.330662,75.768252
33.783359,75.84036
33.328038,75.765406
33.37064,75.690494
33.384469,75.741569
33.304506,75.782719
33.291373,75.74456
33.776581,75.829107
33.344753,75.702278
33.37044,75.644692
33.448755,75.665606
33.432337,75.70756
33.289727,75.903374
33.141775,75.86492
33.154988,75.946279
33.321177,76.369336
33.329666,76.329489
33.233308,76.693851
33.322483,75.755987
33.499813,75.618083
33.333704,75.582706
33.500055,75.646233
33.319192,76.325511
